player_id;short_name;long_name;player_positions;overall;age;height_cm;weight_kg;league_name;club_name;club_position;nationality_name
52340;M. Marić;Mijat Marić;CB;66;37;188;83;Super League;Lugano;CB;Switzerland
52679;J. Murphy;Joseph Murphy;GK;60;40;188;88;League Two;Tranmere Rovers;SUB;Republic of Ireland
53110;C. Gordon;Craig Sinclair Gordon;GK;74;39;193;83;Premiership;Hearts;RES;Scotland
53736;L. Camp;Lee Camp;GK;63;36;183;74;National League;Wrexham;SUB;Northern Ireland
53739;L. Grant;Lee Grant;GK;65;38;193;83;Premier League;Manchester United;RES;England
53914;P. Jagielka;Phil Jagielka;CB;69;39;180;87;Championship;Stoke City;SUB;England
54033;T. Huddlestone;Tom Huddlestone;CDM;66;34;188;98;Championship;Hull City;SUB;England
104389;R. Jarstein;Rune Almenning Jarstein;GK;72;37;192;88;Bundesliga;Hertha BSC;RES;Norway
105846;A. Boruc;Artur Boruc;GK;67;41;193;88;Ekstraklasa;Legia Warszawa;RES;Poland
106795;G. Pegolo;Gianluca Pegolo;GK;69;41;184;76;Serie A;Sassuolo;SUB;Italy
107084;M. Langer;Michael Langer;GK;66;37;195;93;Bundesliga;Schalke 04;RES;Austria
108061;R. Ziegler;Reto Ziegler;CB, LB;68;36;183;80;Super League;Sion;SUB;Switzerland
110606;A. Mannus;Alan Mannus;GK;64;40;188;94;Premier Division;Shamrock Rovers;GK;Northern Ireland
110974;Riesgo;Asier Riesgo Unamuno;GK;66;38;187;72;La Liga 2;Leganés;GK;Spain
111328;L. McCormick;Luke Martin McCormick;GK;59;37;183;88;League One;Plymouth Argyle;RES;England
111503;C. Ben Saada;Chaouki Ben Saada;RM, CM;61;37;176;72;Ligue 2;Bastia;SUB;Tunisia
111590;L. Feeney;Liam Michael Feeney;LW, CM, RM;61;34;183;76;League Two;Scunthorpe United;RM;England
115909;Rubén Castro;Rubén Castro Martín;ST;71;41;169;68;La Liga 2;Málaga;ST;Spain
116314;D. Martin;David Edward Martin;GK;64;36;188;86;League One;Milton Keynes Dons;SUB;England
118646;I. Henderson;Ian Henderson;ST;60;37;178;67;League Two;Rochdale;ST;England
118794;A. Lonergan;Andrew Lonergan;GK;62;38;192;87;Premier League;Everton;RES;England
120533;Pepe;Kléper Laveran de Lima Ferreira;CB;81;39;188;79;Liga Portugal;Porto;RCB;Portugal
121134;A. Walke;Alexander Walke;GK;66;39;189;88;Bundesliga;Salzburg;SUB;Germany
122040;M. Sağlik;Mahir Sağlık;ST, CF, CAM;61;38;178;82;3. Liga;Verl;RES;Turkey
122066;R. König;Ronny König;ST;63;39;190;93;3. Liga;Zwickau;SUB;Germany
124344;İ. Öztürk;İbrahim Öztürk;CB;66;40;186;83;Super Lig;Altay;SUB;Turkey
124375;B. Yılmaz;Burak Yılmaz;ST;76;36;188;77;Eredivisie;Fortuna Sittard;LS;Turkey
124635;M. Topal;Mehmet Topal;CDM, CB;69;35;187;82;Super Lig;Beşiktaş;SUB;Turkey
125871;H. Kaldırım;Hasan Ali Kaldırım;LB;69;32;183;75;Super Lig;İstanbul Başakşehir;SUB;Turkey
126883;A. Durak;Abdullah Durak;CDM;64;35;181;80;Super Lig;Ankaragücü;RES;Turkey
132740;J. Hansen;Jesper Hansen;GK;73;37;188;78;Superliga;AGF;GK;Denmark
134744;A. Hutchinson;Atiba Hutchinson;CM, CDM;72;39;187;83;Super Lig;Beşiktaş;SUB;Canada
134765;D. Djurić;Dušan Predrag Đurić;CM, LM;59;36;181;76;Allsvenskan;Halmstad;SUB;Sweden
134779;J. Briand;Jimmy Briand;ST;72;35;181;84;Ligue 1;Bordeaux;SUB;France
135043;A. Lindegaard;Anders Rosenkrantz Lindegaard;GK;64;38;193;85;Allsvenskan;Helsingborg;SUB;Denmark
135190;M. Liendl;Michael Liendl;CAM;73;35;176;74;Bundesliga;Wolfsberger AC;CAM;Austria
135507;Fernandinho;Fernando Luiz Rosa;CDM;81;36;179;67;Premier League;Manchester City;SUB;Brazil
135537;G. Tamaș;Gabriel Sebastian Tamaș;CB;68;38;188;85;Liga 1;Petrolul 52;CB;Romania
135587;N. Mäenpää;Niki Emil Antonio Mäenpää;GK;67;37;191;86;Serie B;Venezia;SUB;Finland
136686;Kim Young Kwang;김영광 Young Kwang Kim;GK;70;39;183;87;K League 1;Seongnam;GK;Korea Republic
137359;C. Lepoint;Christophe Lepoint;CB, CDM, CM;66;37;189;83;Jupiler Pro League;RFC Seraing;SUB;Belgium
137506;G. Pandev;Goran Pandev;ST;72;37;184;75;Serie B;Parma;SUB;North Macedonia
137552;B. Waterman;Boy Waterman;GK;68;38;188;83;Eredivisie;PSV;SUB;Netherlands
137786;V. Di Cesare;Valerio Di Cesare;CB;68;39;187;75;Serie B;Bari 1908;RCB;Italy
137809;Vágner Love;Vágner Silva de Souza;ST, CAM;72;37;171;72;Superliga;Midtjylland;SUB;Brazil
138026;D. Verhulst;Davino Verhulst;GK;66;34;194;93;Jupiler Pro League;Antwerp;SUB;Belgium
138247;K. Stuhr-Ellegaard;Kevin Stuhr-Ellegaard;GK;64;38;196;93;Superliga;AaB;SUB;Denmark
138306;Angulo;Igor Angulo Albóniga;ST;72;37;183;79;Super League;Mumbai City;ST;Spain
138412;J. Milner;James Philip Milner;CM, RB;77;36;175;70;Premier League;Liverpool;SUB;England
138431;R. Brush;Richard Brush;GK;56;37;185;86;Premier Division;Sligo Rovers;GK;England
138699;B. Džemaili;Blerim Džemaili;CM, CDM;70;36;180;80;Super League;Zürich;SUB;Switzerland
138830;D. Lewington;Dean Scott Lewington;CB;65;38;183;86;League One;Milton Keynes Dons;RES;England
138949;A. Alcáraz;Antolín Alcáraz Viveros;CB;71;39;187;78;Primera División;Olimpia;SUB;Paraguay
138956;G. Chiellini;Giorgio Chiellini;CB;84;37;187;85;Major League Soccer;Los Angeles FC;LCB;Italy
139062;W. Caballero;Wilfredo Daniel Caballero;GK;69;40;186;83;Premier League;Southampton;RES;Argentina
139068;Nani;Luís Carlos Almeida da Cunha;LM, RM;77;35;177;72;A-League;Melbourne Victory;SUB;Portugal
139313;C. Fuchs;Christian Fuchs;LB, CB;70;36;187;89;Major League Soccer;Charlotte;LB;Austria
139475;G. Halford;Greg Halford;CB;59;36;193;81;Premier Division;Waterford United;RCB;England
139476;D. Gerken;Dean Jeffrey Gerken;GK;58;36;183;77;League Two;Colchester United;RES;England
139668;F. Marchetti;Federico Marchetti;GK;68;38;188;83;Serie A;Genoa;RES;Italy
139799;S. Silva;Santiago Martín Silva Olivera;ST;70;41;183;83;Liga Profesional;Aldosivi;RS;Uruguay
139860;J. Morel;Jérémy Morel;CB, LB;71;37;172;71;Ligue 1;Lorient;SUB;Madagascar
140233;G. Ochoa;Francisco Guillermo Ochoa Magaña;GK;80;36;185;78;Serie A;Salernitana;GK;Mexico
140293;A. Mirante;Antonio Mirante;GK;74;38;193;79;Serie A;Milan;RES;Italy
140300;P. Cherrie;Peter Cherrie;GK;55;38;188;76;Premier Division;Dundalk;SUB;Scotland
140420;B. Murphy;Brian Murphy;GK;61;38;183;83;Premier Division;Waterford United;GK;Republic of Ireland
140422;A. Baptiste;Alexander Aaron John Baptiste;CB;61;35;180;74;League One;Bolton Wanderers;SUB;England
140498;D. Marshall;David Marshall;GK;69;37;187;82;Premiership;Hibernian;GK;Scotland
140814;S. Georgiou;Stavros Georgiou;ST, CF;55;17;183;77;1. Division;APOEL;SUB;Cyprus
142258;S. Bossut;Sammy Andre Bossut;GK;69;36;187;80;Jupiler Pro League;Zulte-Waregem;SUB;Belgium
142499;Aitor Sanz;Aitor Sanz Martín;CM, CDM;71;37;181;71;La Liga 2;Tenerife;RCM;Spain
142616;J. De Olivera;Jorge Alberto De Olivera;GK;69;38;194;92;Liga Profesional;Platense;GK;Argentina
142707;L. López;Lisandro López;ST, CAM;72;39;174;74;Liga Profesional;Sarmiento;LS;Argentina
142721;M. Barovero;Marcelo Alberto Barovero;GK;70;37;182;74;Liga MX;Atlético San Luis;GK;Argentina
142756;P. Toranzo;Patricio Daniel Toranzo;CAM, CM;65;39;178;73;Liga Profesional;Huracán;SUB;Argentina
142902;A. Pyatov;Andriy Pyatov;GK;75;38;190;90;Premier League;Shakhtar Donetsk;SUB;Ukraine
142962;E. Bologna;Enrique Alberto Bologna Gómez;GK;71;40;189;87;Liga Profesional;Banfield;SUB;Argentina
142966;J. Dátolo;Jesús Alberto Dátolo;CAM, CM;70;38;179;77;Liga Profesional;Banfield;CAM;Argentina
143076;A. Gómez;Alejandro Darío Gómez;CAM, LW, CM;84;34;167;68;La Liga;Sevilla;CAM;Argentina
143121;J. Sosa;José Ernesto Sosa;CM, CDM;72;37;179;72;Liga Profesional;Estudiantes;SUB;Argentina
143699;G. Gönül;Gökhan Gönül;RB, CB;70;36;175;75;Super Lig;Rizespor;RB;Turkey
143745;A. Turan;Arda Turan;LM, RM, CM;69;34;177;82;Super Lig;Galatasaray;SUB;Turkey
143809;M. Demir;Muhammet Demir;ST;71;30;180;72;Super Lig;Konyaspor;ST;Turkey
144172;S. Kırıntılı;Serkan Kırıntılı;GK;68;37;185;78;Super Lig;Ümraniyespor;GK;Turkey
144200;E. Albayrak;Eren Albayrak;LB;68;30;179;69;Super Lig;Rizespor;SUB;Turkey
144429;O. Wendt;Oscar Wendt;LB;68;36;181;82;Allsvenskan;IFK Göteborg;LB;Sweden
145014;Juande;Juan de Dios Prados López;CDM, CM;66;35;183;74;A-League;Adelaide United;LDM;Spain
145996;Seoane;Fernando Seoane Antelo;CDM, CM;68;38;176;73;La Liga 2;Lugo;SUB;Spain
146111;Mikel Rico;Mikel Rico Moreno;CM, CDM;70;37;179;75;La Liga 2;FC Cartagena;LDM;Spain
146188;Mikel Álvaro;Mikel Álvaro Salazar;CM, RM, LM;64;38;176;70;La Liga 2;Amorebieta;SUB;Spain
146296;Andrés Fernández;Andrés Eduardo Fernández Moreno;GK;74;35;187;82;La Liga 2;Huesca;GK;Spain
146439;Negredo;Álvaro Negredo Sánchez;ST;77;36;186;86;La Liga;Cádiz;SUB;Spain
146486;Saizar;Mikel Saizar Soroa;GK;64;38;190;84;La Liga 2;Amorebieta;SUB;Spain
146530;Dani Alves;Daniel Alves da Silva;RB, CM, RM;77;38;172;70;La Liga;FC Barcelona;RB;Brazil
146536;Jesús Navas;Jesús Navas González;RB, RM;82;36;172;60;La Liga;Sevilla;SUB;Spain
146748;Diego López;Diego López Rodríguez;GK;79;40;196;89;La Liga;Rayo Vallecano;SUB;Spain
146758;Soldado;Roberto Soldado Rillo;ST;72;37;180;74;La Liga 2;Levante;SUB;Spain
146947;Vesga;Mikel Vesga Arruti;CM;75;29;191;84;La Liga;Athletic Club;LCM;Spain
146952;Iván Cuéllar;Iván Cuéllar Sacristán;GK;69;38;187;80;La Liga 2;Sporting Gijón;SUB;Spain
146963;J. Pinola;Javier Horacio Pinola;CB, LB;72;39;180;79;Liga Profesional;River Plate;RES;Argentina
147846;M. Constantin;Marius Marcel Constantin;CB;65;37;185;80;Liga 1;Argeş;RCB;Romania
148403;Luíz Carlos;Luíz Carlos Martins Moreira;CM, CDM;71;36;175;65;Liga Portugal;Paços de Ferreira;RCM;Brazil
148526;P. Kieszek;Paweł Kieszek;GK;66;37;187;82;Ekstraklasa;Wisła Kraków;GK;Poland
148696;E. Ruud;Espen Ruud;RB;66;38;182;76;Eliteserien;Odd;RB;Norway
149064;C. Molinaro;Cristian Molinaro;LB, LM, LWB;67;37;182;82;Serie A;Venezia;SUB;Italy
149185;F. Magnanelli;Francesco Magnanelli;CDM;72;36;181;79;Serie A;Sassuolo;SUB;Italy
149258;A. Cordaz;Alex Cordaz;GK;72;39;188;83;Serie A;Inter;SUB;Italy
149309;A. Rosati;Antonio Rosati;GK;69;39;195;88;Serie A;Fiorentina;RES;Italy
149791;W. Hoolahan;Wesley Hoolahan;CAM;65;39;168;71;League One;Cambridge United;CAM;Republic of Ireland
149825;D. Murphy;Daryl Michael Murphy;ST;60;38;191;88;Premier Division;Waterford United;SUB;Republic of Ireland
150106;A. Papadopoulos;Avraam Papadopoulos;CB;67;36;184;79;Super League;Olympiakos Piraeus;RES;Greece
150477;R. Salin;Romain Jules Salin;GK;70;37;189;76;Ligue 1;Rennes;SUB;France
150516;L. Podolski;Łukasz Józef Podolski;CF, ST, CAM;72;37;183;88;Ekstraklasa;Górnik Zabrze;RF;Germany
150659;V. Demarconnay;Vincent Demarconnay;GK;70;39;180;71;Ligue 2;Paris;GK;France
150724;J. Hart;Charles Joseph John Hart;GK;75;35;196;91;Premiership;Celtic;GK;England
151508;S. Davis;Steven Davis;CM;72;37;173;70;Premiership;Rangers;RES;Northern Ireland
151885;W. Biebauw;Wouter Biebauw;GK;66;37;188;84;Jupiler Pro League;Beerschot;SUB;Belgium
152107;P. Netzer;Philipp Netzer;CB;63;35;188;80;Bundesliga;Rheindorf Altach;SUB;Austria
152454;G. Evans;Gareth Charles Evans;LM, CAM;60;33;183;80;League Two;Bradford City;RDM;England
152456;S. Brown;Scott Peter Andrew Brown;GK;57;37;188;87;League One;Exeter City;SUB;England
152523;S. Flinders;Scott Liam Flinders;GK;60;36;193;87;League Two;Mansfield Town;SUB;England
152536;B. Johnson;Bradley Johnson;CDM, CM;64;35;175;70;League One;Milton Keynes Dons;RCM;England
152554;G. Clichy;Gaël Dimitri Clichy;LB;74;36;176;65;Super League;Servette;LB;France
152729;Piqué;Gerard Piqué Bernabéu;CB;82;35;194;85;La Liga;FC Barcelona;SUB;Spain
152747;A. Lennon;Aaron Lennon;RM, LM;74;34;165;63;Premier League;Burnley;SUB;England
152814;Bobô;Deyvison Rogério da Silva;ST;68;36;186;85;A-League;Sydney;SUB;Brazil
152879;M. Noble;Mark Noble;CDM, CM;75;34;177;76;Premier League;West Ham United;SUB;England
152908;A. Young;Ashley Young;LB, RB, LM;76;36;175;65;Premier League;Aston Villa;SUB;England
152912;J. Sand;José Gustavo Sand;ST;73;41;182;79;Liga Profesional;Lanús;ST;Argentina
152916;R. Sambueza;Rubens Omar Óscar Sambueza;RM, CAM, RW;76;37;180;76;Liga MX;Atlético San Luis;RM;Argentina
152922;É. Barreto;Édgar Osvaldo Barreto Cáceres;CM, CB, CDM;66;36;182;76;Eredivisie;NEC;SUB;Paraguay
152996;P. Skjelbred;Per Ciljan Skjelbred;CM, CDM;69;35;178;74;Eliteserien;Rosenborg;SUB;Norway
152997;D. Cvitanich;Darío Cvitanich;ST, CF;72;37;177;70;Liga Profesional;Banfield;SUB;Argentina
153048;M. Eikrem;Magnus Wolff Eikrem;CF, CAM;73;31;184;69;Eliteserien;Molde;RS;Norway
153060;J. Insaurralde;Juan Manuel Insaurralde;CB;72;37;188;87;Liga Profesional;Sarmiento;LCB;Argentina
153100;S. Nelson;Stuart Nelson;GK;59;39;187;84;League Two;Sutton United;SUB;England
153177;M. Zárate;Mauro Matías Zárate;CAM, ST, LM;73;35;175;77;Liga Profesional;Platense;SUB;Argentina
153244;A. Gignac;André-Pierre Christian Gignac;ST;81;35;189;85;Liga MX;Tigres UANL;LS;France
153275;J. Leca;Jean-Louis Leca;GK;74;36;180;75;Ligue 1;Lens;SUB;France
154472;Jorge Molina;Jorge Molina Vidal;ST;75;40;188;72;La Liga 2;Granada;SUB;Spain
154860;M. Roman;Mihai Roman;RW, ST;63;37;173;70;Liga 1;Botoşani;SUB;Romania
155266;A. Askar;Amin Askar;LWB, LB, RB;61;36;176;62;Eliteserien;Kristiansund;SUB;Ethiopia
155334;Kang Min Soo;강민수 康敏寿;CB;64;36;186;74;K League 1;Incheon United;SUB;Korea Republic
155355;Lee Chung Yong;이청용 李青龙;RM, LM, CAM;73;33;180;70;K League 1;Ulsan;CAM;Korea Republic
155422;J. Szmatuła;Jakub Szmatuła;GK;59;41;188;89;Ekstraklasa;Piast Gliwice;SUB;Poland
155463;V. Găman;Valerică Marius Găman;CB;67;33;191;83;Liga 1;Universitatea Craiova;SUB;Romania
155524;R. Stearman;Richard Stearman;CB;64;34;191;73;League One;Derby County;SUB;England
155533;L. Clarke;Leon Clarke;ST;61;36;188;89;League Two;Bristol Rovers;SUB;England
155589;Lee Ho;이호 李浩;CDM, CB, CM;61;36;183;76;K League 1;Ulsan;SUB;Korea Republic
155671;Ł. Trałka;Łukasz Trałka;CB, CDM;66;37;186;77;Ekstraklasa;Warta Poznań;RCB;Poland
155862;Sergio Ramos;Sergio Ramos García;CB;84;36;184;82;Ligue 1;Paris Saint Germain;RCB;Spain
155871;B. Białkowski;Bartosz Białkowski;GK;71;34;194;86;Championship;Millwall;SUB;Poland
155885;A. McGeady;Aiden John McGeady;LM;67;36;177;73;Premiership;Hibernian;SUB;Republic of Ireland
155886;S. Henderson;Stephen Henderson;GK;62;33;193;87;League One;Charlton Athletic;SUB;Republic of Ireland
155887;M. Bradley;Michael Bradley;CDM, CM, CB;69;34;185;87;Major League Soccer;Toronto;CDM;United States
155946;R. Snodgrass;Robert Snodgrass;CM, RM;73;34;182;82;Premiership;Hearts;LCM;Scotland
155976;C. Adam;Charles Graham Adam;CM, CDM;68;35;185;83;Premiership;Dundee;LCM;Scotland
156221;C. Săpunaru;Ionuț Cristian Săpunaru;CB, CDM;68;38;187;81;Liga 1;Rapid Bucuresti;RCB;Romania
156253;J. Lewis;Joseph Peter Lewis;GK;65;34;198;85;Premiership;Aberdeen;SUB;England
156259;J. Rzeźniczak;Jakub Rzeźniczak;CB;65;35;183;82;Ekstraklasa;Wisła Płock;RCB;Poland
156321;A. Akinfenwa;Saheed Adebayo Akinfenwa;ST;64;39;178;110;League One;Wycombe Wanderers;SUB;England
156412;J. Corona;José de Jesús Corona Rodríguez;GK;76;40;184;84;Liga MX;Cruz Azul;SUB;Mexico
156432;G. Hoarau;Guillaume Hoarau;ST;66;37;193;85;Super League;Sion;RES;France
156433;A. Talavera;Alfredo Talavera Díaz;GK;78;39;188;85;;;;Mexico
156437;P. Pentke;Philipp Pentke;GK;70;37;191;84;Bundesliga;TSG Hoffenheim;SUB;Germany
156438;T. Gebauer;Thomas Gebauer;GK;63;40;191;88;Bundesliga;LASK Linz;RES;Austria
156464;R. Wood;Richard Mark Wood;CB;66;36;191;82;Championship;Rotherham United;CB;England
156507;I. Vázquez;Edmundo Iván Vázquez Mellado Pérez;GK;66;38;182;85;Liga MX;León;RES;Mexico
156519;H. Herrera;Héctor Miguel Herrera López;CM, CDM;78;32;185;78;Major League Soccer;Houston Dynamo;RDM;Mexico
156616;F. Ribéry;Franck Bilal Ribéry;CF, ST, CAM;76;39;170;72;Serie A;Salernitana;RES;France
156675;A. Considine;Andrew Considine;CB;67;35;183;75;Premiership;St. Johnstone;LCB;Scotland
156894;D. Pratley;Darren Antony Pratley;CDM, CM;61;37;185;69;League Two;Leyton Orient;RDM;England
157301;R. Babel;Ryan Guno Babel;LM, ST;74;34;185;85;Super Lig;Galatasaray;RM;Netherlands
157407;B. Clarke;Brendan Clarke;GK;60;36;185;81;Premier Division;Shelbourne;GK;Republic of Ireland
157481;Raúl Albiol;Raúl Albiol Tortajada;CB;82;36;190;82;La Liga;Villarreal;RCB;Spain
157515;E. Velarde;Efraín Velarde Calvillo;LB;70;35;174;72;Liga MX;Pumas UNAM;LB;Mexico
157528;M. Stoppelkamp;Moritz Stoppelkamp;LM;68;35;180;75;3. Liga;MSV Duisburg;LM;Germany
157665;S. Dann;Scott Dann;CB;67;35;190;78;Championship;Reading;RES;England
157703;U. Hünemeier;Uwe Hünemeier;CB;70;36;189;85;2. Bundesliga;Paderborn;SUB;Germany
157734;A. Jaakkola;Anssi Valtteri Jaakkola;GK;62;35;195;88;League One;Bristol Rovers;SUB;Finland
157804;S. Carson;Scott Carson;GK;65;36;190;86;Premier League;Manchester City;SUB;England
157888;Q. Westberg;Quentin Westberg;GK;63;36;185;78;Major League Soccer;Atlanta United;GK;United States
157970;Ricardo Batista;Ricardo José Cecília Batista;GK;73;35;193;86;Liga Portugal;Casa Pia;GK;Portugal
158023;L. Messi;Lionel Andrés Messi Cuccittini;RW;91;35;169;67;Ligue 1;Paris Saint Germain;RS;Argentina
158121;B. Costil;Benoît Costil;GK;74;34;187;82;Ligue 1;Auxerre;GK;France
158133;J. Farfán;Jefferson Agustín Farfán Guadalupe;CAM, ST, RM;71;37;177;95;Primera Division;Alianza Lima;SUB;Peru
158144;Salva Sevilla;Salvador Sevilla López;CDM, CM;74;38;180;71;La Liga 2;Deportivo Alavés;LDM;Spain
158167;M. Sonnleitner;Mario Sonnleitner;CB;65;35;182;82;Bundesliga;Hartberg;SUB;Austria
158221;Juanma;Juan Manuel Marrero Monzón;CB;69;38;186;80;La Liga 2;Fuenlabrada;SUB;Spain
158293;Zheng Zhi;郑智;CDM, CM;67;40;180;75;Super League;Guangzhou Evergrande;LCM;China PR
158305;Liu Jian;刘健;CB;60;36;180;70;Super League;Qingdao Hainiu;RCB;China PR
158309;Gao Lin;郜林;ST, LW;65;36;185;75;Super League;Shenzhen;LS;China PR
158625;Dante;Dante Bonfim da Costa Santos;CB;78;38;189;91;Ligue 1;Nice;LCB;Brazil
158626;M. Debuchy;Mathieu Debuchy;CB, RB;70;36;176;76;Ligue 2;Valenciennes;RCB;France
158777;P. Tschauner;Philipp Tschauner;GK;71;35;196;100;Bundesliga;RB Leipzig;SUB;Germany
158800;W. Janssen;Willem Marco Janssen;CB;71;34;186;75;Eredivisie;FC Utrecht;LCB;Netherlands
158810;G. İnler;Gökhan İnler;CDM, CM;71;38;183;80;Super Lig;Adana Demirspor;SUB;Switzerland
158856;C. Gentner;Christian Gentner;CM, CDM, CAM;65;36;189;81;Super League;Luzern;SUB;Germany
158956;J. Barroso;Julio Alberto Barroso;CB;72;37;175;71;Primera Division;Everton;CB;Argentina
158963;L. Biglia;Lucas Rodrigo Biglia;CDM, CM;76;36;178;63;Super Lig;İstanbul Başakşehir;SUB;Argentina
158984;H. Lamberti;Hernán Agustín Lamberti;CDM, CM;68;37;172;70;Liga Profesional;Platense;LDM;Argentina
159080;C. Bryson;Craig James Bryson;CM;65;34;170;68;Premiership;St. Johnstone;RES;Scotland
159145;B. Gomis;Bafétimbi Fredius Gomis;ST;75;36;184;86;Super Lig;Galatasaray;SUB;France
159233;E. Guarna;Enrico Guarna;GK;64;36;185;82;Serie B;Ascoli;SUB;Italy
159261;F. Quagliarella;Fabio Quagliarella;ST;76;39;180;79;Serie A;Sampdoria;SUB;Italy
159902;M. Maroles;Marko Maroles;GK;60;38;181;75;Liga De Futbol Prof;Always Ready;SUB;Bolivia
159903;F. Vidangosa;Francisco Vidangosa;GK;66;22;188;82;Liga De Futbol Prof;Independiente Petrolero;SUB;Bolivia
159904;E. Galudio;Edgardo Galudio;GK;64;30;184;77;Liga Pro;Delfin;SUB;Ecuador
159905;D. Bantelicia;Diego Bantelicia;GK;67;26;189;85;Primera Division;Deportivo La Guaira;GK;Venezuela
159906;C. Candero;Cristofer Candero;GK;67;34;190;85;Liga De Futbol Prof;Independiente Petrolero;GK;Chile
159907;A. Adanuy;Andres Adanuy;GK;62;34;182;77;Liga De Futbol Prof;Royal Pari;SUB;Bolivia
159908;E. Del Carro;Edgar Del Carro;GK;68;34;188;81;Primera Division;Cienciano;GK;Peru
159909;D. Zumarraga;Daynor Zumarraga;GK;63;38;180;75;Liga Pro;9 de Octubre;SUB;Ecuador
159910;F. Oyerze;Frank Oyerze;GK;59;30;189;86;Primera Division;Antofagasta;SUB;Chile
159912;M. Dalendo;Mario Dalendo;LB;66;22;178;78;Primera Division;Deportivo La Guaira;LB;Venezuela
159913;A. Fuentoza;Allan Fuentoza;LB;72;34;178;69;Primera Division;Cienciano;LB;Peru
159914;A. Veznera;Abraham Veznera;LB, LM;69;34;186;73;Liga BetPlay;América de Cali;SUB;Colombia
159916;F. Brandero;Felipe Brandero;LB;65;34;179;76;Liga Pro;Mushuc Runa;LB;Ecuador
159917;R. Ribagaso;Rene Ribagaso;LB;62;34;177;73;Primera Division;Sport Boys;SUB;Peru
159918;R. Matisano;Raul Matisano;LB, RB;66;26;177;72;Liga De Futbol Prof;Independiente Petrolero;LB;Bolivia
159919;F. Millados;Franco Millados;RB, RM;65;30;178;78;Primera División;Guaireña;RB;Paraguay
159920;C. Cordeso;Claudio Cordeso;LB, LM;66;30;177;76;Liga De Futbol Prof;Wilstermann;LB;Bolivia
159921;S. Abarsola;Saul Abarsola;RB;65;22;178;76;Liga De Futbol Prof;Independiente Petrolero;RB;Bolivia
159922;L. Garriazoz;Luis Pedro Garriazoz;RB;66;22;183;76;Primera Division;Deportivo La Guaira;RB;Venezuela
159923;R. Iribarra;Ronaldo Iribarra;RB;63;22;178;75;Primera División;Sol de América;SUB;Paraguay
159924;A. Lizañas;Alex Lizañas;RB;64;22;168;60;Liga De Futbol Prof;Wilstermann;SUB;Uruguay
159925;I. Modonza;Isaias Modonza;RB, CB;70;30;182;84;Primera Division;Cienciano;RB;Peru
159926;F. Currimila;Fabian Currimila;CB, RB;62;38;177;75;Primera División;Sol de América;RCB;Paraguay
159927;E. Dinsol;Eduardo Dinsol;RB, RM;72;34;175;71;Liga BetPlay;América de Cali;RB;Colombia
